id;name;description;start_date;end_date;completed
1;always rebound;../fake-data/blob/hipster.txt;2026-04-07;2026-04-07;false
2;within;../fake-data/blob/hipster.txt;2026-04-07;2026-04-07;false
3;however;../fake-data/blob/hipster.txt;2026-04-07;2026-04-07;false
4;yum overconfidently;../fake-data/blob/hipster.txt;2026-04-06;2026-04-07;false
5;whirlwind bogus swiftly;../fake-data/blob/hipster.txt;2026-04-07;2026-04-07;true
6;doodle proceed;../fake-data/blob/hipster.txt;2026-04-07;2026-04-06;true
7;pish possible;../fake-data/blob/hipster.txt;2026-04-07;2026-04-06;false
8;geez brochure newsletter;../fake-data/blob/hipster.txt;2026-04-07;2026-04-06;true
9;whoever burdensome e-mail;../fake-data/blob/hipster.txt;2026-04-07;2026-04-07;false
10;anticodon frenetically sometimes;../fake-data/blob/hipster.txt;2026-04-06;2026-04-07;false
