id;title;description;due_date;completed;priority
1;categorise coliseum statue;../fake-data/blob/hipster.txt;2026-04-07;false;7231
2;transparency postbox;../fake-data/blob/hipster.txt;2026-04-07;true;9622
3;headline;../fake-data/blob/hipster.txt;2026-04-06;true;28304
4;outside;../fake-data/blob/hipster.txt;2026-04-07;true;29565
5;finally ecstatic;../fake-data/blob/hipster.txt;2026-04-07;false;19650
6;peaceful someplace;../fake-data/blob/hipster.txt;2026-04-06;false;31374
7;drat that;../fake-data/blob/hipster.txt;2026-04-07;true;28455
8;mortally silver;../fake-data/blob/hipster.txt;2026-04-07;true;27287
9;gnaw blah;../fake-data/blob/hipster.txt;2026-04-07;false;663
10;grandpa than truly;../fake-data/blob/hipster.txt;2026-04-07;false;1572
